iter	Passed	Remaining
402	13120	19436
403	13138	19382
404	13239	19450
405	13261	19401
406	13280	19349
407	13302	19301
408	13321	19248
409	13338	19194
410	13356	19141
411	13376	19090
412	13473	19149
413	13504	19115
414	13529	19071
415	13549	19021
416	13567	18968
417	13587	18918
418	13604	18864
419	13655	18857
420	13730	18883
421	13750	18833
422	13770	18784
423	13794	18739
424	13812	18687
425	13829	18634
426	13847	18581
427	13951	18645
428	13981	18608
429	14002	18561
430	14023	18514
431	14044	18466
432	14063	18415
433	14083	18366
434	14198	18441
435	14220	18395
436	14242	18348
437	14260	18297
438	14279	18247
439	14297	18197
440	14316	18147
441	14426	18212
442	14459	18180
443	14482	18135
444	14502	18087
445	14519	18035
446	14538	17986
447	14555	17934
448	14612	17931
449	14675	17936
450	14698	17891
451	14719	17845
452	14739	17798
453	14758	17749
454	14778	17701
455	14796	17652
456	14900	17704
457	14926	17663
458	14947	17618
459	14966	17569
460	14985	17520
461	15003	17471
462	15027	17428
463	15132	17480
464	15148	17429
465	15163	17376
466	15178	17323
467	15196	17274
468	15216	17227
469	15234	17179
470	15302	17186
471	15364	17187
472	15383	17139
473	15403	17093
474	15424	17048
475	15442	16999
476	15474	16966
477	15557	16989
478	15579	16945
479	15596	16896
480	15615	16849
481	15627	16794
482	15640	16741
483	15650	16685
484	15684	16654
485	15768	16677
486	15788	16631
487	15806	16583
488	15819	16531
489	15831	16477
490	15843	16423
491	15854	16370
492	15870	16320
493	15974	16362
494	15989	16312
495	16006	16264
496	16023	16216
497	16039	16168
498	16069	16134
499	16147	16147
500	16167	16103
501	16189	16060
502	16211	16018
503	16228	15971
504	16246	15925
505	16263	15878
506	16283	15833
507	16383	15867
508	16404	15824
509	16422	15778
510	16443	15735
511	16463	15692
512	16482	15646
513	16525	15625
514	16596	15629
515	16619	15589
516	16638	15543
517	16651	15494
518	16669	15448
519	16788	15497
520	16812	15457
521	16833	15414
522	16852	15370
523	16873	15328
524	16893	15285
525	16913	15241
526	16928	15194
527	16973	15172
528	17059	15188
529	17080	15146
530	17099	15102
531	17119	15059
532	17140	15017
533	17161	14975
534	17180	14932
535	17281	14959
536	17309	14923
537	17327	14879
538	17344	14834
539	17357	14786
540	17370	14737
541	17383	14689
542	17399	14643
543	17419	14601
544	17526	14632
545	17545	14588
546	17567	14548
547	17586	14505
548	17606	14463
549	17686	14470
550	17738	14454
551	17754	14409
552	17768	14362
553	17788	14320
554	17805	14276
555	17822	14232
556	17861	14205
557	17957	14224
558	17977	14182
559	17993	14137
560	18015	14097
561	18035	14056
562	18054	14013
563	18071	13970
564	18091	13928
565	18170	13932
566	18208	13905
567	18231	13866
568	18251	13825
569	18266	13779
570	18285	13737
571	18304	13696
572	18322	13653
573	18372	13635
574	18459	13643
575	18483	13605
576	18504	13565
577	18524	13524
578	18539	13480
579	18560	13440
580	18579	13399
581	18598	13357
582	18643	13335
583	18702	13322
584	18719	13279
585	18741	13240
586	18762	13200
587	18780	13159
588	18799	13118
589	18868	13112
590	18930	13100
591	18950	13060
592	18972	13021
593	18991	12981
594	19009	12939
595	19027	12897
596	19047	12857
597	19163	12882
598	19186	12844
599	19209	12806
600	19228	12765
601	19245	12723
602	19267	12685
603	19286	12644
604	19306	12604
605	19411	12620
606	19440	12586
607	19461	12547
608	19479	12506
609	19499	12467
610	19520	12428
611	19538	12387
612	19555	12345
613	19663	12362
614	19687	12324
615	19705	12283
616	19725	12244
617	19745	12205
618	19766	12166
619	19785	12126
620	19896	12142
621	19920	12106
622	19943	12068
623	19962	12028
624	19981	11988
625	19998	11948
626	20017	11908
627	20134	11926
628	20160	11891
629	20183	11853
630	20201	11813
631	20222	11774
632	20242	11736
633	20263	11698
634	20281	11658
635	20306	11621
636	20416	11634
637	20438	11596
638	20459	11558
639	20479	11519
640	20497	11479
641	20516	11440
642	20534	11400
643	20553	11361
644	20588	11331
645	20666	11324
646	20692	11289
647	20712	11251
648	20732	11213
649	20752	11174
650	20770	11135
651	20790	11096
652	20898	11105
653	20929	11072
654	20950	11034
655	20972	10997
656	20989	10958
657	21007	10918
658	21026	10880
659	21046	10842
660	21068	10805
661	21096	10771
662	21116	10733
663	21135	10695
664	21155	10657
665	21268	10666
666	21287	10627
667	21305	10588
668	21325	10551
669	21348	10515
670	21446	10515
671	21466	10477
672	21488	10440
673	21508	10403
674	21527	10365
675	21545	10326
676	21651	10330
677	21681	10297
678	21698	10257
679	21713	10217
680	21727	10177
681	21738	10136
682	21756	10097
683	21775	10059
684	21835	10041
685	21889	10019
686	21910	9982
687	21927	9944
688	21946	9905
689	21965	9868
690	21984	9830
691	22109	9840
692	22129	9803
693	22150	9766
694	22170	9729
695	22189	9691
696	22206	9653
697	22225	9616
698	22340	9620
699	22364	9584
700	22386	9548
701	22405	9511
702	22424	9473
703	22443	9436
704	22463	9399
705	22482	9362
706	22594	9363
707	22623	9330
708	22644	9294
709	22667	9258
710	22684	9220
711	22702	9183
712	22723	9146
713	22743	9109
714	22790	9084
715	22859	9067
716	22877	9029
717	22902	8995
718	22913	8955
719	22928	8916
720	22942	8878
721	22960	8840
722	23070	8838
723	23098	8805
724	23117	8768
725	23136	8732
726	23156	8695
727	23175	8658
728	23193	8621
729	23251	8599
730	23309	8577
731	23332	8542
732	23354	8507
733	23373	8470
734	23393	8434
735	23412	8397
736	23435	8363
737	23537	8356
738	23565	8322
739	23586	8287
740	23605	8250
741	23621	8213
742	23639	8176
743	23658	8140
744	23677	8104
745	23786	8098
746	23806	8063
747	23828	8027
748	23851	7992
749	23872	7957
750	23893	7922
751	23911	7885
752	23925	7848
753	23936	7809
754	24035	7799
755	24060	7765
756	24079	7729
757	24098	7693
758	24119	7658
759	24139	7623
760	24157	7586
761	24189	7555
762	24285	7543
763	24308	7508
764	24331	7474
765	24351	7438
766	24368	7402
767	24389	7367
768	24406	7331
769	24522	7324
770	24542	7289
771	24560	7253
772	24579	7218
773	24597	7182
774	24616	7146
775	24634	7111
776	24682	7083
777	24760	7065
778	24781	7030
779	24802	6995
780	24820	6959
781	24840	6924
782	24862	6890
783	24969	6879
784	24992	6845
785	25015	6810
786	25035	6775
787	25056	6741
788	25076	6706
789	25093	6670
790	25203	6659
791	25224	6624
792	25247	6590
793	25264	6554
794	25281	6519
795	25301	6484
796	25317	6448
797	25341	6414
798	25450	6402
799	25468	6367
800	25489	6332
801	25511	6298
802	25529	6263
803	25547	6227
804	25567	6193
805	25669	6178
806	25694	6145
807	25713	6110
808	25738	6076
809	25758	6042
810	25778	6007
811	25796	5972
812	25815	5937
813	25835	5903
814	25951	5890
815	25973	5856
816	25997	5823
817	26016	5788
818	26035	5753
819	26050	5718
820	26062	5682
821	26168	5666
822	26192	5633
823	26213	5598
824	26234	5564
825	26253	5530
826	26272	5495
827	26290	5461
828	26307	5426
829	26425	5412
830	26447	5378
831	26469	5344
832	26487	5310
833	26505	5275
834	26526	5241
835	26544	5207
836	26663	5192
837	26685	5158
838	26708	5125
839	26731	5091
840	26751	5057
841	26770	5023
842	26791	4989
843	26812	4955
844	26927	4939
845	26948	4905
846	26969	4871
847	26990	4837
848	27007	4803
849	27027	4769
850	27045	4735
851	27125	4711
852	27174	4683
853	27198	4649
854	27219	4616
855	27239	4582
856	27262	4548
857	27284	4515
858	27305	4481
859	27427	4464
860	27453	4432
861	27474	4398
862	27493	4364
863	27514	4330
864	27536	4297
865	27557	4264
866	27576	4230
867	27615	4199
868	27702	4176
869	27723	4142
870	27743	4108
871	27765	4075
872	27788	4042
873	27805	4008
874	27824	3974
875	27931	3953
876	27954	3920
877	27970	3886
878	27985	3852
879	28006	3819
880	28022	3785
881	28040	3751
882	28054	3717
883	28142	3692
884	28185	3662
885	28206	3629
886	28228	3596
887	28242	3562
888	28256	3528
889	28267	3493
890	28282	3459
891	28298	3426
892	28406	3403
893	28432	3371
894	28452	3337
895	28471	3304
896	28492	3271
897	28513	3238
898	28532	3205
899	28594	3177
900	28649	3147
901	28674	3115
902	28693	3082
903	28713	3049
904	28731	3015
905	28748	2982
906	28768	2949
907	28860	2924
908	28887	2891
909	28906	2858
910	28925	2825
911	28945	2793
912	28965	2760
913	28984	2727
914	29003	2694
915	29129	2671
916	29150	2638
917	29168	2605
918	29188	2572
919	29207	2539
920	29229	2507
921	29247	2474
922	29265	2441
923	29359	2414
924	29382	2382
925	29399	2349
926	29420	2316
927	29437	2283
928	29453	2251
929	29470	2218
930	29571	2191
931	29598	2159
932	29622	2127
933	29642	2094
934	29659	2061
935	29677	2029
936	29736	1999
937	29775	1968
938	29795	1935
939	29813	1902
940	29833	1870
941	29852	1838
942	29870	1805
943	29886	1772
944	29905	1740
945	30007	1712
946	30038	1681
947	30058	1648
948	30080	1616
949	30100	1584
950	30121	1552
951	30138	1519
952	30229	1490
953	30257	1458
954	30278	1426
955	30299	1394
956	30318	1362
957	30336	1330
958	30355	1297
959	30376	1265
960	30493	1237
961	30515	1205
962	30532	1173
963	30542	1140
964	30555	1108
965	30569	1075
966	30588	1043
967	30608	1011
968	30651	980
969	30725	950
970	30746	918
971	30764	886
972	30782	854
973	30800	822
974	30821	790
975	30876	759
976	30948	728
977	30967	696
978	30985	664
979	31052	633
980	31148	603
981	31171	571
982	31190	539
983	31209	507
984	31229	475
985	31250	443
986	31268	411
987	31345	380
988	31388	349
989	31409	317
990	31425	285
991	31444	253
992	31461	221
993	31479	190
994	31496	158
995	31526	126
996	31614	95
997	31638	63
998	31660	31
999	31681	0
